#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T05:30:08 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T05:30:08	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/217/32/cvrhs&-out.all=1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22170032
#Name: J/ApJS/217/32
#Title: S4G galaxy morphologies in the CVRHS system (Buta+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apjs/217/32	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/217/32	    IVOID of underlying data collection
#INFO	creator=Buta R.J.	    First author or institution
#INFO	cites=bibcode:2015ApJS..217...32B	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/217/32	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22170032	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-27	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_217_32_cvrhs:
#Name: J/ApJS/217/32/cvrhs
#Title: CVRHS (Comprehensive de Vaucouleurs  revised Hubble-Sandage) classifications for 2412  S^4^G galaxies, plus arm classification
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(A10)	Galaxy identifier (G1)	[ucd=meta.id;meta.main]
#Column	f_Name	(A1)	[*] Additional galaxy (G2)	[ucd=meta.code]
#Column	P1T	(a45)	Phase 1 type (1)	[ucd=src.morph.type]
#Column	P2T	(a45)	Phase 2 type (1)	[ucd=src.morph.type]
#Column	Figure	(a11)	Figure number (2)	[ucd=meta.id]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	LEDA	(A4)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	<T>	(F4.1)	[-5/11]? Unweighted average numerical T index (3)	[ucd=src.morph.type]
#Column	<F>	(F5.2)	[0/1]? Unweighted average numerical F index (3)	[ucd=src.morph.type]
#Column	<Type>	(a57)	Unweighted average classification type (3)	[ucd=src.morph.type]
#Column	Notes	(a99)	Additional notes (Arm classifications in table9)	[ucd=meta.note]
#Column	S10	(I3)	Galaxies in S4G catalog version 2 (2013-09) (Sheth et al. 2010, J/PASP/122/1397)	[ucd=meta.ref.url]
#Column	Opt	(I3)	Display the available optical data from Knapen et al. 2014, J/A+A/569/A91, within 30"	[ucd=meta.code]
#Column	AC	(A1)	[FGM] Arm class (4)	[ucd=meta.code;src.morph]
#Column	_RA	(F9.5)	Positions from SIMBAD (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from SIMBAD (declination part)	[ucd=pos.eq.dec;meta.main]
recno	Name	f_Name	P1T	P2T	Figure	Simbad	NED	LEDA	<T>	<F>	<Type>	Notes	S10	Opt	AC	_RA	_DE
    2156	IC 4986   	 	SB(s)dm:                                     	SAB(s)dm:                                    	II.1.1924  	Simbad	NED	LEDA	 8.0	 0.75	SA\underline{B}(s)dm:                                    	flocculent spiral; subtle features                                                                 	  1	  0	F	304.29862	-55.03643
    2157	NGC 6887  	 	SA\underline{B}(r\underline{s})b             	SAB(rs)bc                                    	II.1.1925  	Simbad	NED	LEDA	 3.5	 0.62	SAB(rs)\underline{b}c                                    	multi-armed spiral; highly inclined but not edge-on                                                	  1	  0	M	304.32199	-52.79680
    2158	ESO 340-9 	 	SB:d sp                                      	SAB(s)d sp                                   	II.1.1926  	Simbad	NED	LEDA	 7.0	 0.75	SA\underline{B}(s:)d: sp                                 	                                                                                                   	  1	  0	 	304.33548	-38.67368
    2159	NGC 6889  	 	SB(rs)bc                                     	(R')SAB(rs)b: pec                            	II.1.1927  	Simbad	NED	LEDA	 3.5	 0.75	(R')SA\underline{B}(rs)\underline{b}c: pec               	flocculent spiral; (rs) and (R') miscentered                                                       	  1	  0	F	304.72189	-53.95708
    2160	ESO 340-17	 	SB(s)d                                       	SB(r'l)d pec                                 	II.1.1928  	Simbad	NED	LEDA	 7.0	 1.00	SB(sl)d                                                  	(r'l) broad diffuse zone                                                                           	  1	  0	 	304.92367	-39.28860
    2161	NGC 6902B 	 	SB(s)d                                       	S\underline{A}B(s)d                          	II.1.1929  	Simbad	NED	LEDA	 7.0	 0.62	SAB(s)d                                                  	flocculent spiral; face-on                                                                         	  1	  0	F	305.77942	-43.86855
    2162	NGC 6902  	 	S\underline{A}B(\underline{r}s,nl)a          	(R')S\underline{A}B(\underline{r}s,nl)ab     	II.1.1930  	Simbad	NED	LEDA	 1.5	 0.25	(R')S\underline{A}B(\underline{r}s,nl)\underline{a}b     	multi-armed spiral; weak bar inside (rl); oval twists leading                                      	  1	  0	M	306.11725	-43.65353
    2163	ESO 26-1  	 	(R_2_')SAB(s)c                               	(R_2_')SA\underline{B}(s)cd                  	II.1.1931  	Simbad	NED	LEDA	 5.5	 0.62	(R_2_')SAB(s)\underline{c}d                              	multi-armed spiral                                                                                 	  1	  0	M	306.25922	-81.57529
    2164	ESO 400-25	 	SBd                                          	SB(s)d                                       	II.1.1932  	Simbad	NED	LEDA	 7.0	 1.00	SB(s:)d                                                  	flocculent spiral; bar clear                                                                       	  1	  0	F	306.90820	-32.95747
    2165	NGC 6923  	 	SAB_a(rl)b                                   	S\underline{A}B(l)bc                         	II.1.1933  	Simbad	NED	LEDA	 3.5	 0.38	SAB(r\underline{l})\underline{b}c                        	multi-armed spiral; excellent (l); like N5409                                                      	  1	  0	M	307.91278	-30.83192
    2166	ESO 462-31	 	SAB0^-^ pec                                  	SAB(s)0/a:                                   	II.1.1934  	Simbad	NED	LEDA	-1.5	 0.50	SAB(s:)0^{o/+}^: pec                                     	significant isophote twisting; double nucleus                                                      	  1	  0	 	307.96777	-30.79858
    2167	ESO 234-43	 	SB(s)cd:                                     	SAB(s)m                                      	II.1.1935  	Simbad	NED	LEDA	 7.5	 0.75	SA\underline{B}(s)\underline{d}m:                        	flocculent spiral                                                                                  	  1	  0	F	308.05792	-48.52833
    2168	NGC 6925  	 	SB(rs)b                                      	SB(rs)b                                      	II.1.1936  	Simbad	NED	LEDA	 3.0	 1.00	SB(rs)b                                                  	multi-armed spiral; bar foreshortened; large example                                               	  1	  0	M	308.58569	-31.98089
    2169	ESO 340-42	 	SB(s)d                                       	SA\underline{B}(s)dm                         	II.1.1937  	Simbad	NED	LEDA	 7.5	 0.88	SB(s)\underline{d}m                                      	flocculent spiral                                                                                  	  1	  0	F	308.73292	-40.62417
    2170	ESO 234-49	 	SA(r)cd                                      	SA(r)cd pec                                  	II.1.1938  	Simbad	NED	LEDA	 6.0	 0.00	SA(r)cd pec                                              	flocculent spiral; (r) knotty, small, and very bright                                              	  1	  0	F	308.82525	-49.86550
    2171	IC 5039   	 	SA\underline{B}(r\underline{s})cd            	S\underline{A}B(r\underline{s})d             	II.1.1939  	Simbad	NED	LEDA	 6.5	 0.50	SAB(r\underline{s})c\underline{d}                        	multi-armed spiral; large extreme late-type                                                        	  1	  0	M	310.80975	-29.85340
    2172	IC 5007   	 	SB(s)m                                       	(R_2_')SB(r\underline{s})d                   	II.1.1940  	Simbad	NED	LEDA	 8.0	 1.00	(R_2_')SB(s)dm                                           	flocculent spiral; =I5041 (RC3)                                                                    	  1	  0	F	310.89365	-29.70365
    2173	ESO 285-48	 	SB(rs)d                                      	SB(rs)d                                      	II.1.1941  	Simbad	NED	LEDA	 7.0	 1.00	SB(rs)d                                                  	flocculent spiral                                                                                  	  1	  0	F	311.16760	-45.97852
    2174	PGC 65367 	 	dIm                                          	dIm                                          	II.1.1942  	Simbad	NED	LEDA	10.0	     	dIm                                                      	no Sph?; mostly resolved                                                                           	  1	  0	 	311.71583	-12.84806
    2175	IC 5026   	 	SBd sp                                       	Sc sp / E(d)8-9                              	II.1.1943  	Simbad	NED	LEDA	 6.0	 1.00	SB:cd sp / E(d)8-9                                       	weak thin disk; thin thick disk; bright center looks like a foreground star                        	  1	  0	 	312.11661	-78.06914
    2176	IC 5052   	 	Sd sp                                        	SAB(s)m sp / E(d)8                           	I.1.173    	Simbad	NED	LEDA	 8.0	 0.50	SAB:(s:)dm sp / E(d)8                                    	excellent case with thin disk and thick disk; area of bar slightly thicker                         	  0	  0	 	313.00680	-69.19331
    2177	ESO 187-35	 	SB(s)m                                       	SB(s)m                                       	II.1.1944  	Simbad	NED	LEDA	 9.0	 1.00	SB(s)m                                                   	flocculent spiral; low surface brightness                                                          	  1	  0	F	314.23454	-55.72047
    2178	IC 5069   	 	SB(s)b:                                      	SAB(s)dm                                     	II.1.1945  	Simbad	NED	LEDA	 5.5	 0.75	SA\underline{B}(s)\underline{c}d:                        	multi-armed spiral; face-on                                                                        	  1	  0	M	315.05333	-71.81167
    2179	IC 5078   	 	SA(s)a:                                      	SA(s)c: sp                                   	II.1.1946  	Simbad	NED	LEDA	 3.0	 0.00	SA(s)b: sp                                               	multi-armed spiral; subtle features; highly inclined but not edge-on                               	  1	  0	M	315.63031	-16.81830
    2180	ESO 341-32	 	SB(s)dm                                      	SA(s)m (cc)                                  	II.1.1947  	Simbad	NED	LEDA	 8.5	 0.50	SAB(s)d\underline{m} (cc)                                	flocculent spiral; excellent case                                                                  	  1	  0	F	315.88917	-39.44417
    2181	ESO 286-44	 	E4                                           	E3-4                                         	II.1.1948  	Simbad	NED	LEDA	-5.0	     	E4                                                       	poorly resolved                                                                                    	  1	  0	 	316.41110	-42.78124
    2182	ESO 187-51	 	SB(s)m                                       	SAB(s)m                                      	II.1.1949  	Simbad	NED	LEDA	 9.0	 0.75	SA\underline{B}(s)m                                      	flocculent spiral; low surface brightness                                                          	  1	  0	F	316.88625	-54.95306
    2183	ESO 342-13	 	SB(s)m: pec                                  	S pec spw?                                   	II.1.1950  	Simbad	NED	LEDA	    	 1.00	S pec spw?                                               	flocculent spiral; early-type galaxy with late-type bar?                                           	  1	  0	F	317.50195	-37.50375
    2184	PGC 66242 	 	(R')SB(s)d                                   	SB(s)d                                       	II.1.1951  	Simbad	NED	LEDA	 7.0	 1.00	(R')SB(s)d                                               	flocculent spiral                                                                                  	  1	  1	F	317.52167	-03.70139
    2185	ESO 107-16	 	SB(s)dm sp                                   	SAB(s)dm sp                                  	II.1.1952  	Simbad	NED	LEDA	 8.0	 0.75	SA\underline{B}(s)dm sp                                  	                                                                                                   	  1	  0	 	319.02758	-64.81678
    2186	PGC 66559 	 	SB(s)dm                                      	SB(s)dm                                      	II.1.1953  	Simbad	NED	LEDA	 8.0	 1.00	SB(s)dm                                                  	flocculent spiral; excellent face-on case                                                          	  1	  1	F	319.92929	-07.55346
    2187	NGC 7051  	 	(R_1_'R_2_')SAB_a(rs)b                       	(R_1_')SAB(\underline{r}s)b                  	II.1.1954  	Simbad	NED	LEDA	 3.0	 0.50	(R_1_')SAB_a_(rs)b                                       	multi-armed spiral; R_1_' dimpled                                                                  	  1	  1	M	319.96387	-08.78290
    2188	ESO 287-9 	 	Scd: sp                                      	Sd sp / E(d)7-8                              	II.1.1955  	Simbad	NED	LEDA	 6.5	     	Sc\underline{d}: sp / E(d)7-8                            	poorly resolved                                                                                    	  1	  0	 	320.31784	-46.15283
